gid,gname,chridv,posv,snpid,p_ctl,p_scz
10137,MZT2A,17,9750310,632559,8.566244e-10,0.4586724
10396,DPP10,16,88904800,628238,5.483108e-10,0.3511101
10403,PAAF1,4,188675224,211346,5.795043e-10,0.189099
10403,PAAF1,11,73669310,475034,7.4159e-10,0.6123783
1474,AURKA,14,25682271,559768,1.38401e-10,0.445558
1474,AURKA,14,25672680,559766,1.417038e-10,0.4909057
1045,FERMT2,8,96922072,367873,3.793282e-10,0.788922
10946,TMIE,21,47038365,721015,1.493685e-11,0.4600714
10946,TMIE,21,47036348,721014,1.531628e-11,0.4585453
10811,C14orf119,5,50413703,223547,9.924997e-11,0.247559
10556,PDDC1,6,32219838,269049,4.193299e-10,0.2315184
10660,KDELC2,6,39036185,272422,3.560257e-10,0.08805401
10946,TMIE,8,87813597,366033,2.745253e-11,0.7240562
11456,IFIT1,2,115687956,91910,1.032525e-10,0.875318
11456,IFIT1,11,121944684,488551,4.549937e-10,0.9387771
11264,TM2D3,7,101773105,329407,4.139991e-10,0.5428757
11352,F8,7,115655686,332351,9.580385e-12,0.6913861
11352,F8,8,3625284,344758,8.335772e-10,0.8999493
11649,ISG15,2,115687956,91910,6.608182e-10,0.7649725
11649,ISG15,11,121944684,488551,6.607423e-10,0.5213473
11849,MYBPC1,13,50798730,539807,7.307154e-11,0.9564069
12269,MT1F,16,78883118,623014,1.300029e-10,0.2610834
12297,NUDT16,1,226875552,55607,8.687534e-10,0.2163845
12413,DCLRE1A,1,226900415,55615,3.052129e-11,0.5124033
12085,LRP10,7,156586675,342349,2.754076e-10,0.9862358
12272,TXNRD1,7,141875267,338193,1.482801e-11,0.4920278
12681,C17orf51,1,9238553,2933,9.77087e-10,0.8196363
12885,KLLN,6,46705994,274988,2.798978e-10,0.338499
215,BTK,1,219751388,53755,2.651378e-12,0.4520641
27,M6PR,12,99883571,519359,1.96422e-10,0.3408529
470,PHF23,21,44071939,719917,3.246444e-10,0.5698484
1736,NRP1,3,183301774,166821,9.295109e-11,0.1715896
2470,CD37,16,82342053,624682,7.146434e-11,0.4288621
2673,PTCD1,9,101179742,401727,3.756421e-10,0.1058974
2769,DDX58,1,94291481,26256,5.912425e-12,0.7116787
2952,WSB1,7,38765527,316392,8.796025e-11,0.7585519
3141,VPS29,12,20147892,499692,2.496792e-10,0.1215493
3447,RBP1,14,72607322,571441,3.926258e-10,0.6591498
3837,ABCD3,10,28633039,424432,3.648557e-10,0.4053645
3960,HEATR1,9,106126869,403019,9.561438e-11,0.1460454
3508,ARHGEF26,10,93810872,440407,7.70659e-11,0.3624503
3778,BMP8B,20,58326432,709079,7.450554e-10,0.3288573
3948,UBE2B,12,3674831,494327,1.791944e-10,0.5786813
3585,EFEMP1,5,115137144,237411,3.589256e-10,0.7353231
3818,SLC2A1,6,66424345,278312,9.106864e-10,0.5444962
3818,SLC2A1,6,66418352,278310,9.106864e-10,0.5444962
3818,SLC2A1,6,66410718,278308,9.528942e-10,0.5444962
3991,ONECUT2,8,72043751,362838,1.099278e-10,0.1940174
3711,HDAC1,15,81601340,597357,1.000707e-10,0.8458288
4339,SARDH,10,91333674,439770,6.698801e-10,0.6023989
